업종명,업소명,영업소 주소(도로명),영업소 주소(지번),소재지전화,객실수
숙박업(일반),첼로파크여관,대전광역시 중구 목척7길 30 (은행동),대전광역시 중구 은행동 115-5 ,042-226-6226,14
숙박업(일반),한성여인숙,대전광역시 중구 동서대로1327번길 1 (용두동),대전광역시 중구 용두동 116-10 ,042-257-7562,8
숙박업(일반),화성모텔,대전광역시 중구 충무로 160-1 (문창동),대전광역시 중구 문창동 67-57 ,042-271-7198,14
숙박업(일반),남도 여인숙,대전광역시 중구 오류로 19-11 (오류동),대전광역시 중구 오류동 170-25 ,042-523-8923,7
숙박업(일반),영일장,대전광역시 중구 목척1길 11 (은행동),대전광역시 중구 은행동 10-2 ,042-252-3232,14
숙박업(일반),둥지파크,"대전광역시 중구 목척1길 50 (은행동,,4)","대전광역시 중구 은행동 118-3 ,4 ",042-255-1250,18
숙박업(일반),에이스텔,대전광역시 중구 유등천동로 326-10 (산성동),대전광역시 중구 산성동 143-2 ,042-583-4503,13
숙박업(일반),허브모텔,대전광역시 중구 목척1길 29 (은행동),대전광역시 중구 은행동 133-1 ,042-253-2525,30
숙박업(일반),동양여관,대전광역시 중구 대흥로111번길 30-10 (대흥동),대전광역시 중구 대흥동 452-20 ,042-221-4334,12
숙박업(일반),그린파크,대전광역시 중구 유등천동로324번길 16 (산성동),대전광역시 중구 산성동 142-9 ,042-582-4487,9
숙박업(일반),정림여관,대전광역시 중구 목척9길 22 (은행동),대전광역시 중구 은행동 117-1 ,042-256-9587,16
숙박업(일반),송덕장여관,대전광역시 중구 중앙로137번길 55 (선화동),대전광역시 중구 선화동 19-3 ,,17
숙박업(일반),만월호텔대흥점,"대전광역시 중구 대흥로165번길 35, 1-6층 (대흥동)",대전광역시 중구 대흥동 142-1 (1-6층) ,042-223-6778,29
숙박업(일반),자스민모텔,대전광역시 중구 중앙로112번길 42 (대흥동),대전광역시 중구 대흥동 464-1 ,042-256-8006,13
숙박업(일반),안흥여관,대전광역시 중구 목척2길 45 (은행동),대전광역시 중구 은행동 122 ,042-256-8249,10
숙박업(일반),백제장여관,대전광역시 중구 중앙로16번길 19-11 (문화동),대전광역시 중구 문화동 1-170 ,042-253-9291,19
숙박업(일반),고향여관,대전광역시 중구 유천로 57-30 (유천동),대전광역시 중구 유천동 210-17 ,042-584-1043,14
숙박업(일반),용궁여관,대전광역시 중구 중앙로16번길 19-8 (문화동),대전광역시 중구 문화동 1-171 ,,15
숙박업(일반),대명장여관,대전광역시 중구 대둔산로509번길 29 (유천동),대전광역시 중구 유천동 341-1 ,042-582-6412,17
숙박업(일반),한밭여관,대전광역시 중구 계룡로955번길 36 (대흥동),대전광역시 중구 대흥동 910-12 ,042-256-1698,10
숙박업(일반),국향장여관,대전광역시 중구 선화로 120 (선화동),대전광역시 중구 선화동 244-11 ,042-226-2050,6
숙박업(일반),월드파크,대전광역시 중구 오류로 64 (오류동),대전광역시 중구 오류동 179-11 ,042-525-4321,26
숙박업(일반),만금장여관,대전광역시 중구 충무로 85-1 (대사동),대전광역시 중구 대사동 97-1 ,042-253-0727,8
숙박업(일반),수정장여관,대전광역시 중구 태평로 185 (태평동),대전광역시 중구 태평동 350-1 ,042-533-2277,19
숙박업(일반),로즈모텔,대전광역시 중구 태평로 183 (태평동),대전광역시 중구 태평동 350-24 ,042-525-9455,20
숙박업(일반),천운장모텔,대전광역시 중구 대흥로175번길 11 (대흥동),대전광역시 중구 대흥동 96-2 ,042-253-2574,17
숙박업(일반),경성장여관,대전광역시 중구 대전천서로 419-7 (대흥동),대전광역시 중구 대흥동 3-21 ,042-254-6667,15
숙박업(일반),유림여관,대전광역시 중구 유천로47번길 102 (유천동),대전광역시 중구 유천동 329-21 ,042-582-1698,12
숙박업(일반),뉴히딩크모텔,대전광역시 중구 유등천동로 324-1 (산성동),대전광역시 중구 산성동 143-1 ,042-584-7798,25
숙박업(일반),세라돈여관,대전광역시 중구 대흥로 7-5 (문화동),대전광역시 중구 문화동 1-188 ,042-254-6543,18
숙박업(일반),퀸모텔,대전광역시 중구 유등천동로324번길 28 (산성동),대전광역시 중구 산성동 141-11 ,042-584-5135,14
숙박업(일반),일신모텔,대전광역시 중구 대전천서로 419 (대흥동),대전광역시 중구 대흥동 3-3 ,042-254-8001,15
숙박업(일반),한일장여관,대전광역시 중구 보문로 143 (대사동),대전광역시 중구 대사동 87-17 ,042-257-3883,12
숙박업(일반),원앙파크,대전광역시 중구 인창로6번길 11 (대흥동),대전광역시 중구 대흥동 46-31 ,042-253-3681,12
숙박업(일반),안흥파크,대전광역시 중구 인창로28번길 27 (문창동),대전광역시 중구 문창동 47-3 ,042-255-0351,10
숙박업(일반),3.3여관,대전광역시 중구 계백로1522번길 57 (유천동),대전광역시 중구 유천동 341-56 ,042-585-5522,11
숙박업(일반),오류장여관,대전광역시 중구 오류로 77-1 (오류동),대전광역시 중구 오류동 183-56 ,042-525-2989,10
숙박업(일반),예오장,"대전광역시 중구 문창로 101-21 (대흥동,,32)","대전광역시 중구 대흥동 46-30 ,32 ",042-255-0866,14
숙박업(일반),태림장여관,"대전광역시 중구 목척1길 20 (은행동,,3,4.)","대전광역시 중구 은행동 7-2 ,3,4. ",042-256-3168,10
숙박업(일반),럭키장여관,대전광역시 중구 유천로 57 (유천동),대전광역시 중구 유천동 212-3 ,042-581-1900,16
숙박업(일반),운현장여관,대전광역시 중구 대종로386번길 84 (문창동),대전광역시 중구 문창동 10-1 ,042-252-7905,18
숙박업(일반),동백여관,대전광역시 중구 유천로47번길 116 (유천동),대전광역시 중구 유천동 329-27 ,042-584-2570,10
숙박업(일반),거북 여인숙,대전광역시 중구 계백로1522번길 56 (유천동),"대전광역시 중구 유천동 341-9 ,10 ",042-583-1586,8
숙박업(일반),오렌지파크,대전광역시 중구 목척3길 36 (은행동),대전광역시 중구 은행동 115-6 ,042-255-4045,26
숙박업(일반),은혜장여관,대전광역시 중구 문창로 109 (문창동),대전광역시 중구 문창동 33-14 ,042-256-8812,10
숙박업(일반),봉봉장,대전광역시 중구 대종로386번길 71 (문창동),대전광역시 중구 문창동 53-33 ,042-257-5749,15
숙박업(일반),장수장여관,대전광역시 중구 인창로 36 (문창동),대전광역시 중구 문창동 10-3 ,042-255-9677,17
숙박업(일반),황토방모텔,대전광역시 중구 목척7길 32 (은행동),대전광역시 중구 은행동 115-18 ,042-256-8828,22
숙박업(일반),아리장여관,대전광역시 중구 문창로94번길 37 (문창동),대전광역시 중구 문창동 10-60 ,042-254-1117,17
숙박업(일반),큐모텔,대전광역시 중구 계룡로874번길 103 (오류동),대전광역시 중구 오류동 167-11 ,042-526-4872,22
숙박업(일반),그린파크,대전광역시 중구 문창로90번길 33 (문창동),대전광역시 중구 문창동 53-4 ,042-252-9033,18
숙박업(일반),프라임모텔,대전광역시 중구 문창로 109-16 (대흥동),대전광역시 중구 대흥동 43-5 ,042-252-2828,14
숙박업(일반),황소모텔,대전광역시 중구 유천로47번길 99 (유천동),대전광역시 중구 유천동 330-6 ,042-585-7001,16
숙박업(일반),동화장여관,대전광역시 중구 인창로28번길 3 (문창동),대전광역시 중구 문창동 21-6 ,042-254-6137,12
숙박업(일반),장미파크,대전광역시 중구 문창로 101-22 (대흥동),대전광역시 중구 대흥동 45-12 ,042-254-4992,18
숙박업(일반),보람장여관,대전광역시 중구 문창로98번길 15 (문창동),대전광역시 중구 문창동 48-10 ,042-256-0828,18
숙박업(일반),호텔노크온(Knock on Hotel),대전광역시 중구 인창로 7 (대흥동),대전광역시 중구 대흥동 38-12 ,042-222-0055,33
숙박업(일반),로미오모텔,대전광역시 중구 유천로17번안길 50-9 (유천동),대전광역시 중구 유천동 330-30 ,042-585-8580,10
숙박업(일반),백제장여관,대전광역시 중구 문창로90번길 31 (문창동),대전광역시 중구 문창동 52-18 ,042-254-9940,15
숙박업(일반),홍인파크,대전광역시 중구 계백로1550번길 36 (유천동),대전광역시 중구 유천동 330-8 ,042-582-3130,18
숙박업(일반),스카이모텔,대전광역시 중구 중앙로16번길 28 (문화동),대전광역시 중구 문화동 1-211 ,042-226-0551,18
숙박업(일반),올림픽파크,대전광역시 중구 문창로90번길 29 (문창동),대전광역시 중구 문창동 52-37 ,042-222-2828,18
숙박업(일반),베네치아,대전광역시 중구 유등천동로 326-8 (산성동),대전광역시 중구 산성동 143-15 ,042-585-1333,15
숙박업(일반),수라모텔,대전광역시 중구 유천로17번안길 42 (유천동),대전광역시 중구 유천동 331-12 ,042-582-9001,17
숙박업(일반),비앤비호텔,"대전광역시 중구 대흥로157번길 28, 3층 일부~9층 (대흥동)",대전광역시 중구 대흥동 133 ,042-266-2191,37
숙박업(일반),코자자,대전광역시 중구 유천로17번안길 36 (유천동),대전광역시 중구 유천동 331-11 ,042-582-7405,28
숙박업(일반),리슈모텔,대전광역시 중구 유천로33번길 68 (유천동),대전광역시 중구 유천동 298-13 ,042-584-8356,18
숙박업(일반),콩모텔유천점,대전광역시 중구 문화로87번길 60 (유천동),대전광역시 중구 유천동 298-10 ,507-1380-0529,23
숙박업(일반),궁전모텔,대전광역시 중구 계룡로882번길 105 (오류동),대전광역시 중구 오류동 168-2 ,042-527-5550,22
숙박업(일반),호텔버스,대전광역시 중구 계룡로921번길 16 (대사동),대전광역시 중구 대사동 248-347 ,042-222-1103,31
숙박업(일반),로얄파크,대전광역시 중구 대둔산로 497 (유천동),대전광역시 중구 유천동 341-42 ,042-582-2392,23
숙박업(일반),평안장여관,대전광역시 중구 유등천동로324번길 60 (유천동),대전광역시 중구 유천동 341-54 ,042-585-4736,19
숙박업(일반),호텔마이스테이,대전광역시 중구 중교로 10 (대흥동),대전광역시 중구 대흥동 508-7 ,042-255-1778,23
숙박업(일반),레이크모텔,대전광역시 중구 계룡로921번길 11 (대사동),대전광역시 중구 대사동 248-269 ,042-254-5551,32
숙박업(일반),럭셔리모텔,대전광역시 중구 대종로386번길 13 (부사동),대전광역시 중구 부사동 86-9 ,042-252-6758,20
숙박업(일반),프로방스모텔,대전광역시 중구 대둔산로 471 (산성동),대전광역시 중구 산성동 142-10 ,042-582-7022,20
숙박업(일반),현대여인숙,"대전광역시 중구 계백로1566번길 6 (유천동,,35)","대전광역시 중구 유천동 306-2 ,35 ",042-582-2119,8
숙박업(일반),대림파크,대전광역시 중구 대흥로158번길 18 (대흥동),대전광역시 중구 대흥동 169-4 ,042-255-7677,19
숙박업(일반),루오호텔대흥점,대전광역시 중구 인창로6번길 25 (대흥동),대전광역시 중구 대흥동 48-3 ,042-255-8890,25
숙박업(일반),아크리스,대전광역시 중구 유등천동로 326-9 (산성동),대전광역시 중구 산성동 142-5 ,042-583-1477,32
숙박업(일반),산토리니,대전광역시 중구 대종로396번길 5 (대흥동),대전광역시 중구 대흥동 49-4 ,042-255-1775,32
숙박업(일반),몽모텔,대전광역시 중구 대흥로169번길 11 (대흥동),대전광역시 중구 대흥동 92-5 ,042-226-2128,28
숙박업(일반),스테이오늘,대전광역시 중구 대흥로158번길 13 (대흥동),대전광역시 중구 대흥동 31-3 ,042-221-0411,30
숙박업(일반),프로포즈 모텔,대전광역시 중구 계룡로882번길 112 (오류동),대전광역시 중구 오류동 167-9 ,042-537-6577,24
숙박업(일반),아비숑모텔,대전광역시 중구 대종로402번길 28 (문창동),대전광역시 중구 문창동 37-9 ,042-242-5287,18
숙박업(일반),모아모텔,"대전광역시 중구 대종로460번길 28 (대흥동,130-2)",대전광역시 중구 대흥동 131-1 130-2 ,042-222-3077,17
숙박업(일반),리베라모텔,대전광역시 중구 계백로1550번길 56 (유천동),대전광역시 중구 유천동 331-8 ,042-585-1118,28
숙박업(일반),브라운도트호텔대전역점,대전광역시 중구 대종로460번길 29 (대흥동),대전광역시 중구 대흥동 141-1 ,042-255-9500,33
숙박업(일반),시애틀,대전광역시 중구 대둔산로494번길 15 (유천동),대전광역시 중구 유천동 335-45 ,042-586-2090,31
숙박업(일반),팰리스모텔,대전광역시 중구 보문로260번길 45 (대흥동),대전광역시 중구 대흥동 212-3 ,042-252-2299,14
숙박업(일반),노블레스모텔,대전광역시 중구 대둔산로509번길 7 (유천동),대전광역시 중구 유천동 341-23 ,042-586-7711,32
숙박업(일반),카라모텔,대전광역시 중구 목척2길 18 (은행동),대전광역시 중구 은행동 116-9 ,042-223-0505,24
숙박업(일반),대웅장여관,대전광역시 중구 대둔산로509번길 15 (유천동),대전광역시 중구 유천동 341-7 ,042-582-2067,15
숙박업(일반),뉴그랜드모텔,대전광역시 중구 문창로 109-14 (대흥동),대전광역시 중구 대흥동 36-10 ,042-221-0177,27
숙박업(일반),대전호텔박스,대전광역시 중구 대종로432번길 28 (대흥동),대전광역시 중구 대흥동 34 ,042-221-6544,28
숙박업(일반),그레이스모텔,대전광역시 중구 문창로 109-10 (문창동),대전광역시 중구 문창동 33-4 외1 ,042-252-9921,27
숙박업(일반),샵모텔,"대전광역시 중구 목척9길 6 (은행동,외2)",대전광역시 중구 은행동 112-3 외2 ,042-255-6060,35
숙박업(일반),올인모텔,대전광역시 중구 목척7길 10 (은행동),대전광역시 중구 은행동 114-22 ,042-252-6638,24
숙박업(일반),그리스호텔,대전광역시 중구 인창로 31 (문창동),대전광역시 중구 문창동 18-4 ,042-242-8630,30
숙박업(일반),호텔루키,대전광역시 중구 대흥로158번길 25 (대흥동),대전광역시 중구 대흥동 31-7 ,042-222-1146,35
숙박업(일반),호텔띠아모,대전광역시 중구 문창로 92 (문창동),대전광역시 중구 문창동 42-3 ,042-226-4300,25
숙박업(일반),칸모텔,대전광역시 중구 인창로6번길 19 (대흥동),대전광역시 중구 대흥동 47-2 ,042-255-7322,28
숙박업(일반),더리즈,대전광역시 중구 문창로98번길 38 (문창동),대전광역시 중구 문창동 10-61 10-127 ,042-222-8988,25
숙박업(일반),포시즌모텔,대전광역시 중구 목척7길 13 (은행동),대전광역시 중구 은행동 7-15 ,042-257-1886,32
숙박업(일반),베스트인시티호텔2,"대전광역시 중구 대종로386번길 7 (부사동,,대흥동49-12)","대전광역시 중구 부사동 86-5 ,대흥동49-12 ",042-226-1070,35
숙박업(일반),휴모텔,대전광역시 중구 목척7길 26 (은행동),대전광역시 중구 은행동 115-3 ,042-224-0752,21
숙박업(일반),단밤,"대전광역시 중구 대흥로158번길 53 (대흥동,,9,24번지)","대전광역시 중구 대흥동 38-7 ,9,24번지 ",042-257-5556,34
숙박업(일반),스타호텔,대전광역시 중구 대흥로158번길 46 (대흥동),대전광역시 중구 대흥동 37-11 ,042-242-2050,34
숙박업(일반),아델리아,대전광역시 중구 계백로1685번길 5 (오류동),대전광역시 중구 오류동 168-10 ,042-532-8648,25
숙박업(일반),자바호텔,"대전광역시 중구 중앙로109번길 36 (선화동,20)",대전광역시 중구 선화동 236-18 20 ,042-256-6191,28
숙박업(일반),베스트인시티호텔,대전광역시 중구 대종로386번길 1 (대흥동),"대전광역시 중구 대흥동 57-5 ,부사동86-20번지 ",042-221-4897,35
숙박업(일반),이티모텔,대전광역시 중구 유천로17번안길 52 (유천동),대전광역시 중구 유천동 330-17 ,042-581-1696,29
숙박업(일반),자우리호텔 은행점,대전광역시 중구 대흥로111번길 35 (대흥동),대전광역시 중구 대흥동 452-30 ,042-223-7722,34
숙박업(일반),호텔일루와,대전광역시 중구 대둔산로 500 (유천동),대전광역시 중구 유천동 335-75 ,042-587-1255,34
숙박업(일반),카리스마모텔,대전광역시 중구 유등천동로 326-16 (산성동),대전광역시 중구 산성동 143-3 ,042-582-8992,36
숙박업(일반),로지호텔,대전광역시 중구 대종로452번길 48 (대흥동),대전광역시 중구 대흥동 95-20 ,042-255-6933,31
숙박업(일반),낙원하우스,대전광역시 중구 중앙로16번길 19-5 (문화동),대전광역시 중구 문화동 1-167 ,042-253-4215,13
숙박업(일반),하얏트모텔,대전광역시 중구 목척7길 24 (은행동),대전광역시 중구 은행동 115-22 ,042-223-0394,20
숙박업(일반),나인스팟호텔,대전광역시 중구 중앙로129번길 28 (선화동),대전광역시 중구 선화동 32-2 ,042-254-0952,40
숙박업(일반),무비스모텔,대전광역시 중구 대흥로169번길 30 (대흥동),대전광역시 중구 대흥동 4-7 ,042-256-3008,34
숙박업(일반),럭셔리모텔,대전광역시 중구 대종로386번길 11 (부사동),대전광역시 중구 부사동 86-10 ,042-255-4006,30
숙박업(일반),로즈마리모텔,대전광역시 중구 보문로162번길 94 (대사동),"대전광역시 중구 대사동 64-10,45,48, 62-15 ",042-226-4522,34
숙박업(일반),아늑에어호텔대전문창점,대전광역시 중구 문창로94번길 28 (문창동),대전광역시 중구 문창동 52-13 ,507-1474-6444,30
숙박업(일반),풀하우스,대전광역시 중구 유천로17번안길 50-11 (유천동),대전광역시 중구 유천동 330-27 ,042-584-3360,26
숙박업(일반),네오텔,대전광역시 중구 문창로98번길 8 (문창동),대전광역시 중구 문창동 36-2 ,042-251-8072,30
숙박업(일반),오리엔탈모텔,대전광역시 중구 계룡로874번길 103-1 (오류동),대전광역시 중구 오류동 167-10 ,042-536-5881,28
숙박업(일반),제우스모텔,대전광역시 중구 대종로529번길 41 (선화동),대전광역시 중구 선화동 235-4 ,042-223-1500,24
숙박업(일반),대림호텔,대전광역시 중구 대종로505번길 50 (선화동),대전광역시 중구 선화동 229-6 외 5필지 ,042-251-9500,44
숙박업(일반),백운장,대전광역시 중구 유천로47번길 104 (유천동),대전광역시 중구 유천동 329-22 ,042-585-0855,10
숙박업(일반),맥모텔,대전광역시 중구 계룡로921번길 12 (대사동),대전광역시 중구 대사동 248-348 ,042-252-2727,25
숙박업(일반),두솔모텔,대전광역시 중구 계룡로 791-17 (용두동),대전광역시 중구 용두동 118-9 ,042-257-5028,35
숙박업(일반),콩모텔,대전광역시 중구 대흥로169번길 12 (대흥동),대전광역시 중구 대흥동 95-35 ,042-223-9100,34
숙박업(일반),카리브모텔,대전광역시 중구 문창로98번길 31 (문창동),대전광역시 중구 문창동 50-1 ,042-271-8885,27
숙박업(일반),한성장여관,"대전광역시 중구 문창로98번길 5, 1,2,3층 (문창동)","대전광역시 중구 문창동 35-8 (1,2,3층) ",,13
숙박업(일반),드림파크,"대전광역시 중구 대둔산로 504-1, 2,3층 (유천동)","대전광역시 중구 유천동 335-84 (2,3층) ",,8
숙박업(일반),자바무인텔,대전광역시 중구 문창로 85-16 (문창동),대전광역시 중구 문창동 38-3 ,042-257-9605,23
숙박업(일반),호텔7,대전광역시 중구 문창로90번길 8 (문창동),대전광역시 중구 문창동 43-1 ,042-242-4101,14
숙박업(일반),호텔썸,대전광역시 중구 문창로102번길 22 (문창동),대전광역시 중구 문창동 20-13 ,042-254-0099,29
숙박업(일반),아늑호텔대전대흥점,"대전광역시 중구 대종로460번길 11, 2,3,4층 (대흥동)","대전광역시 중구 대흥동 152-2 2,3,4층 ",507-1411-7599,22
숙박업(생활),드림하우스,대전광역시 중구 중앙로129번길 27 (선화동),대전광역시 중구 선화동 30 ,,18
숙박업(생활),세원하우스,대전광역시 중구 대종로 451-6 (대흥동),대전광역시 중구 대흥동 181-25 ,,19
숙박업(생활),메종,"대전광역시 중구 목척9길 13, 2~5층 (은행동)",대전광역시 중구 은행동 114-35 2층~5층 ,042-253-3907,33
숙박업(생활),대전하늘정원,대전광역시 중구 보문로230번길 40 (대흥동),대전광역시 중구 대흥동 447-11 ,042-255-0043,24
,오룡하우스,"대전광역시 중구 어덕마을로10번길 95-4, 3~5층 (용두동)",대전광역시 중구 용두동 118-6 3~5층 ,042-253-1500,15
숙박업(생활),건후하우스,대전광역시 중구 대종로488번길 8 (은행동),대전광역시 중구 은행동 149-1 ,,17
숙박업(생활),남양하우스,대전광역시 중구 중앙로121번길 43 (선화동),대전광역시 중구 선화동 237-5 ,,35
숙박업(생활),정연하우스,대전광역시 중구 대종로529번길 39 (선화동),대전광역시 중구 선화동 235-33 ,042-252-6062,15
숙박업(생활),진영텔,대전광역시 중구 대흥로 7-6 (문화동),대전광역시 중구 문화동 1-187 ,,19
숙박업(생활),크리스탈레지던스호텔,대전광역시 중구 대종로452번길 38 (대흥동),대전광역시 중구 대흥동 92-1 ,042-255-2933,48
숙박업(생활),초롱하우스,"대전광역시 중구 대종로517번길 39, 2~3층 (선화동)",대전광역시 중구 선화동 232-1 2~3층 ,,11
숙박업(생활),리츠빌,"대전광역시 중구 목척4길 47, 3~4층 (은행동)",대전광역시 중구 은행동 122-8 3~4층 ,,18
숙박업(생활),아가페,"대전광역시 중구 대종로452번길 30, 2~6층 (대흥동)",대전광역시 중구 대흥동 121-1 2~6층 ,,35
숙박업(생활),프린스빌,"대전광역시 중구 선화로 126-7, 2~3층 (선화동)",대전광역시 중구 선화동 240-2 2~3층 ,,3
숙박업(생활),태양빌,"대전광역시 중구 보문로262번길 30, 2~4층 (대흥동)",대전광역시 중구 대흥동 478 2~4층 ,,15
숙박업(생활),아름드리,"대전광역시 중구 대종로505번길 56, 2~5층 (선화동)",대전광역시 중구 선화동 229-3 2~5층 ,,20
숙박업(생활),다연하우스,"대전광역시 중구 목척8길 45, 1~3층 (은행동)",대전광역시 중구 은행동 137-24 1~3층 ,,18
숙박업(생활),신진타운숙박,대전광역시 중구 중교로 49 (대흥동),대전광역시 중구 대흥동 250-2 ,,16
숙박업(생활),한빛타운,"대전광역시 중구 중앙로121번길 49-7, 1~4층 (선화동, 한빛타운)",대전광역시 중구 선화동 237-2 한빛타운 1~4층 ,,26
숙박업(생활),스테이준,"대전광역시 중구 대흥로165번길 36, 2층일부, 4~6층 (대흥동)","대전광역시 중구 대흥동 6-3 2층일부, 4~6층 ",,37
숙박업(생활),상원빌,"대전광역시 중구 중앙로109번길 43, 2,3,4층 (선화동)","대전광역시 중구 선화동 282-6 2,3,4층 ",,24
숙박업(생활),신흥,"대전광역시 중구 대종로 543-8, 1,2,3층 (선화동)","대전광역시 중구 선화동 142-5 1,2,3층 ",,14
숙박업(생활),스카이빌,대전광역시 중구 문창로 109-9 (대흥동),대전광역시 중구 대흥동 36-19 ,704-175-9080,0
